Insight,Date,Value,Unit
High,2023-01-01,72,°F
Average,2023-02-01,56,°F
Low,2023-02-01,37,°F
High,2023-02-01,72,°F
Average,2023-03-01,57,°F
Low,2023-03-01,43,°F
High,2023-03-01,72,°F
Average,2023-04-01,57,°F
Low,2023-04-01,46,°F
High,2023-04-01,70,°F
High,2023-05-01,73,°F
Average,2023-05-01,58,°F
Low,2023-05-01,46,°F
Low,2023-06-01,39,°F
High,2023-06-01,72,°F
Average,2023-06-01,58,°F
Average,2023-07-01,58,°F
Low,2023-07-01,46,°F
High,2023-07-01,70,°F
Average,2023-08-01,58,°F
High,2023-08-01,77,°F
Low,2023-08-01,41,°F
Average,2023-09-01,58,°F
Low,2023-09-01,39,°F
High,2023-09-01,72,°F
Average,2023-10-01,58,°F
Low,2023-10-01,43,°F
High,2023-10-01,73,°F
High,2023-11-01,75,°F
Low,2023-11-01,39,°F
Average,2023-11-01,58,°F
Average,2023-12-01,58,°F
Low,2023-12-01,41,°F
High,2023-12-01,72,°F
Average,2024-01-01,58,°F
Low,2024-01-01,37,°F
High,2024-01-01,77,°F
High,2024-02-01,90,°F
Average,2024-02-01,59,°F
Low,2024-02-01,39,°F
Average,2024-03-01,60,°F
Low,2024-03-01,45,°F
High,2024-03-01,84,°F
Average,2024-04-01,59,°F
Low,2024-04-01,37,°F
High,2024-04-01,77,°F
High,2024-05-01,75,°F
Low,2024-05-01,48,°F
Average,2024-05-01,60,°F
Average,2024-06-01,58,°F
Low,2024-06-01,46,°F
High,2024-06-01,81,°F
Average,2024-07-01,58,°F
Low,2024-07-01,45,°F
High,2024-07-01,70,°F
Average,2024-08-01,58,°F
Low,2024-08-01,41,°F
High,2024-08-01,72,°F
High,2024-09-01,81,°F
Average,2024-09-01,58,°F
Low,2024-09-01,39,°F
Average,2024-10-01,58,°F
Low,2024-10-01,39,°F
High,2024-10-01,75,°F
Average,2024-11-01,57,°F
Low,2024-11-01,43,°F
High,2024-11-01,70,°F
High,2024-12-01,72,°F
Average,2024-12-01,57,°F
Low,2024-12-01,39,°F
Average,2025-01-01,56,°F
Low,2025-01-01,36,°F
High,2025-01-01,72,°F
Average,2025-02-01,58,°F
Low,2025-02-01,45,°F
High,2025-02-01,72,°F
High,2025-03-01,70,°F
Average,2025-03-01,57,°F
Low,2025-03-01,39,°F
Average,2025-04-01,58,°F
Low,2025-04-01,45,°F
High,2025-04-01,73,°F
Average,2025-05-01,58,°F
Low,2025-05-01,48,°F
High,2025-05-01,70,°F
High,2025-06-01,68,°F
Average,2025-06-01,57,°F
Low,2025-06-01,45,°F
High,2025-07-01,68,°F
Average,2025-07-01,57,°F
Low,2025-07-01,43,°F
Average,2025-08-01,57,°F
Low,2025-08-01,41,°F
High,2025-08-01,70,°F
Average,2025-09-01,57,°F
Low,2025-09-01,41,°F
High,2025-09-01,72,°F
Average,2025-10-01,56,°F
Low,2025-10-01,39,°F
High,2025-10-01,70,°F
Average,2025-11-01,57,°F
Low,2025-11-01,41,°F
High,2025-11-01,72,°F
High,2025-12-01,72,°F
Low,2025-12-01,39,°F
